team, conference,imageurl
Atlanta United FC, Eastern,~/images/teams/atlantaunitedfc.gif
Chicago Fire, Eastern,~/images/teams/chicagofire.gif
Colorado Rapids, Western,~/images/teams/coloradorapids.gif
Columbus Crew SC, Eastern,~/images/teams/columbuscrewsc.gif
D.C. United, Eastern,~/images/teams/dcunited.gif
FC Cincinnati, Eastern,~/images/teams/fccincinnati.gif
FC Dallas, Western,~/images/teams/fcdallas.gif
Houston Dynamo, Western,~/images/teams/houstondynamo.gif
LA Galaxy, Western,~/images/teams/lagalaxy.gif
Los Angeles FC, Western,~/images/teams/losangelesfc.gif
Minnesota United FC, Western,~/images/teams/minnesotaunitedfc.gif
Montreal Impact, Eastern,~/images/teams/montrealimpact.gif
New England Revolution, Eastern,~/images/teams/newenglandrevolution.gif
New York City FC, Eastern,~/images/teams/newyorkcityfc.gif
New York Red Bulls, Eastern,~/images/teams/newyorkredbulls.gif
Orlando City SC, Eastern,~/images/teams/orlandocitysc.gif
Philadelphia Union, Eastern,~/images/teams/philadelphiaunion.gif
Portland Timbers, Western,~/images/teams/portlandtimbers.gif
Real Salt Lake, Western,~/images/teams/realsaltlake.gif
San Jose Earthquakes, Western,~/images/teams/sanjoseearthquakes.gif
Seattle Sounders FC, Western,~/images/teams/seattlesoundersfc.gif
Sporting Kansas City, Western,~/images/teams/sportingkansascity.gif
Toronto FC, Eastern,~/images/teams/torontofc.gif
Vancouver Whitecaps FC, Western,~/images/teams/vancouverwhitecapsfc.gif
